sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,right ear wenli variance998,face wenli variance559,right ear wenli mean928,face wenli variance1454,face wenli variance935,face wenli variance863
40,-0.006508825523834881,-0.0002757346837999052,0.0002508642310701143,0.0011978743843768782,-0.0004107110863722142,0.0010765714399424118,0.006292299455165078,0.0017645313255530218,-0.007231274098780301,8.625435347171574e-05,-0.0014165244311793738,-0.003132295104976148,0.010837524690361063,0.017743144243691153,-0.003870747115994711,-0.011638041662623553,-0.031478976515696346
41,-0.00022386574958096743,-0.0005089743610114384,-1.9998678463202144e-05,0.002230801557832414,-0.0011635919138499272,0.0008979698949870505,0.006021369252438926,0.001897934392042461,-0.0082140632837224,0.0005046344786616403,0.001489582622547373,-0.015893073226211824,0.006092608929375081,-0.023763119348934495,-0.0030798052729408545,-0.01111503954464578,-0.022249659406775462
42,0.004041137711836457,-0.0005364444327239894,-5.189986971035968e-05,0.0023524557457814577,-0.0012522633207437918,0.0008769348922527321,0.00598946013565845,0.0022671813184543094,-0.011168687019702831,9.868045203184897e-05,-0.005542702777006347,-0.0016336832483834214,0.008252573792642558,0.028155118381652643,-0.0029478558465153627,-0.00469826285070307,-0.011689359185372759
43,-0.004372829981558146,0.0003007102682550804,0.0009202938871478828,-0.0013549745223674719,0.0014500115731987096,0.0015179798668858554,-0.005716825470793712,0.0017561214442450195,-0.007095458093361223,-9.60124955762911e-05,-0.0019900385377260798,-0.0026202148526687985,0.002752127303743574,0.005001196404539545,0.003026975188004052,0.012674889657533536,0.02410270313219277
44,-0.0014705393785117327,0.00046075329475428895,0.001106153001370451,-0.0020637423999836334,0.0019666189003194807,0.0016405316219466667,-0.00231196415569941,0.001690870268938365,-0.008118286837689849,4.338953448907068e-05,-0.002939346692128577,0.005137228356086675,0.004605919432514036,0.022264525542267176,0.0003523892451201279,0.0009584569409093355,0.008279765735779283
45,-0.0015032546462557998,7.429545358082644e-05,0.000657356739415102,-0.00035227199188064113,0.0007191609089244403,0.0013446044095663495,-0.005364437833304983,0.001729422214335555,-0.009419345020255555,0.0001716359214493267,0.006035632736320473,-0.005469213419339721,0.007300544145574776,-0.023690908844135133,0.0040789228078290185,-0.003096661463921242,-0.007407446409032654
46,-0.0033609937412679126,-8.753909933441781e-05,0.00046941711271989345,0.0003644298545148038,0.0001967706639627654,0.0012206808065011268,-0.0068998411109344555,0.0015785455189858068,-0.007730858601125868,-0.0004883395821884572,-0.005468400334568372,-0.005728362019868423,0.007641751571083879,0.004192661794816999,0.0014045884367781278,-0.006645075267198258,-0.0015274782509299052
47,0.0002654727374281179,0.0002135226493413322,0.0008190422801460357,-0.0009688547084422491,0.0011685762382747068,0.0014512165973378016,0.006860618662419823,0.0014208396004567454,-0.005068341650669889,0.00036747750001680683,0.0044042533476059634,-0.019246299057295257,0.0074985663121648225,-0.026221622172566697,0.0011156581865404212,-0.0075947759970106145,0.0032885790639718415
48,-0.008820858630399983,0.00016148307249457466,0.000758608346416949,-0.0007383918058058644,0.0010005962438484433,0.0014113676791144036,0.006800169714481654,0.0015865712576967536,-0.007863375892845493,8.218193461587374e-05,0.003183678310133275,-0.0013823876357495362,0.0013019957453299688,0.0009183754304785427,-0.005331750536330353,4.135124394548491e-05,0.0016160937055241572
49,-0.004790776075031083,-0.000498992999550667,-8.4072518299184e-06,0.0021865980174906817,-0.00113137280016489,0.0009056130481544893,0.0060329635588467385,0.0019969489726956724,-0.010950630669293804,0.00016013220835654226,-0.002249215531857183,-0.008650655140224228,0.005483309955251755,-0.02293897165709318,-0.003022950038675535,-0.002103994554444986,-0.006781358958095646
