sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance455,face wenli variance1007,left ear wenli variance894,left ear wenli mean217,right ear wenli mean200
39,-0.011717861020050735,-0.0005920135066908906,0.0013633449753539782,0.0013983313921528229,3.5197514070260714e-06,0.0023753599777955547,-0.009788060745712037,-0.0020184563902554895,-0.004479759604345848,-0.09753407678192341,0.08153286888006746,0.004839782748362244,-0.001251465682368462,0.04840041635760313,-0.015944351643480483,-0.05371880590131453
40,-0.02810261364835568,-0.0009328848118324444,0.000929719952895076,0.002228366411494741,1.6909432230662215e-05,0.0022165180952604855,-0.009609332720233574,-0.0017597974169141113,-0.0034610748747649234,0.0016645848103142632,0.0037860075810860865,0.005515958776599743,-0.02254391595243614,-0.011060973251526012,-0.011284843062797067,0.01808455871150309
41,-0.0009665664944521055,-0.0017219975537943468,-7.411646658217863e-05,0.004149886938912864,4.790637327369453e-05,0.001848801154658556,-0.00919557961129359,-0.0018928425878424087,-0.003931463205884543,0.00973871873280548,-0.003981273444696636,0.008651917203013811,-0.026269820786107366,-0.09327711112437646,-0.012601756018320356,0.02571381749423779
42,0.01744808359045224,-0.001814936216161477,-0.000192344457464285,0.004376196232924803,5.155707371841161e-05,0.0018054928683111451,-0.009146849362179224,-0.002261098893578093,-0.005345622569406775,0.0019043906181619615,0.014814227182782457,0.0031992874980359813,-0.042612662183994274,0.06599412896346034,-0.01361097335144153,-0.002528690054204688
43,-0.01888020366680094,0.0010173839509461124,0.0034106719230515524,-0.002520614643283698,-5.9698589213291456e-05,0.003125319619637674,0.008730493270988406,-0.001751410097750062,-0.0033960698206727,-0.0018529029005946644,0.005318864132976145,-0.014490783649802904,-0.031924429298384745,0.004838056006776103,-0.012654054283761982,0.019786572172581934
44,-0.00634922534913177,0.0015588526795198242,0.004099478478625557,-0.003839112269266287,-8.096788745642554e-05,0.0033776374618356333,0.0035307335526018266,-0.0016863339791839762,-0.0038856221208379326,0.0008373555319824856,0.007856122079429156,0.005672036339935827,-0.01835409943849414,0.041456213885364544,-0.01193256104728051,0.016119238995141297
45,-0.006490477334831388,0.0002513615598828747,0.0024362089174580497,-0.0006553200274213336,-2.9608654491927937e-05,0.002768362501730753,0.008192341824247159,-0.0017247824968977244,-0.0045083422286326304,0.003312326117458268,-0.016131702915519335,0.002692155476857843,-0.008703275349710713,-0.005977423115452762,-0.015322499654596042,0.0005971868081657882
46,-0.014511482638382946,-0.00029616838580173607,0.0017396918407395613,0.0006779369003446394,-8.101267089355806e-06,0.002513220206075356,0.010537144556476896,-0.0015743105755982771,-0.0037001889430840636,-0.00942425069654806,0.01461563575423281,0.0018186013608322371,-0.010792704334867334,-0.0401680345823221,-0.014606283971295528,0.006077747797355508
47,0.0011462095191819173,0.0007224047182156566,0.0030354265606866086,-0.0018023286231588535,-4.8111583453972115e-05,0.0029878628847089354,-0.010477245697472347,-0.0014170277526523432,-0.0024258394446446062,0.007091786559629386,-0.011771442974108834,-0.004529673438366429,-0.021656273918532157,0.0007123269013564018,-0.015430547542590068,0.02726579434671221
48,-0.0380850863537732,0.0005463407926133304,0.002811454279822993,-0.0013736060475461789,-4.1195660251247285e-05,0.002905819236659493,-0.010384930629274324,-0.0015823147827482551,-0.0037636151474537815,0.0015859929909356053,-0.008509158015628748,-0.00539026111066873,0.029768518481881934,0.006165807915657068,-0.011476245291755532,0.025357109453689682
49,-0.020684734691284345,-0.0016882279156050484,-3.115784877719042e-05,0.004067656543262565,4.657987652825387e-05,0.001864537395350007,-0.009213285944046325,-0.0019915915308319843,-0.005241255158439609,0.003090321020837359,0.00601157796340863,0.0004950636237423345,-0.014317702535350514,0.011487313589617137,-0.01478435650356026,0.021084834151145346
50,0.06222852895253733,-0.003559989485328141,-0.002412240211728907,0.008625469498751417,0.0001201040764785335,0.0009923192681358481,-0.008231870833777197,-0.0015946854141591345,-0.012103534926491955,0.009007546122603176,0.001565822729029264,-0.0018931632146278177,-0.013481200371712451,0.17532370067741665,-0.01536624242164167,-0.03674388780270834
51,0.07207619725476673,-0.005320628741351405,-0.004651963020365063,0.012912695254878172,0.0001892633085057819,0.00017188278764141966,-0.007308720151796986,-0.001575528545722931,-0.014893362386163553,0.0035853823104277116,-0.004709666413139792,-0.007475457356838665,0.016475805060578875,0.1176789716243393,-0.013609533879245038,-0.061401045647818245
52,-0.018024231612070625,-0.0004814684517635299,0.001503970194322443,0.0011291498405796216,-8.225413579633974e-07,0.002426872628947909,-0.009846022501646205,-0.0016480062009690084,-0.002933249079602344,-0.1168716946987851,0.008381211280340107,-0.011342339018321965,-0.0014414137719281552,-0.0025115707117359456,-0.011387398551013646,-0.0038648608258097274
53,0.033742295763958034,-0.002393926764945521,-0.0009288828105993887,0.005786060965185504,7.430025723425757e-05,0.0015356903142337967,-0.008843268990367371,-0.0016266100352683517,-0.004417095603290445,0.005362094808346949,-0.010842439003266353,0.0046721794572721,-0.028289845661617206,0.0030993808791074337,-0.012451701016856642,-0.010232167859460612
54,0.001092144752252417,-0.0003123316314308023,0.001719130451020934,0.0007172950384336725,-7.466362664187623e-06,0.002505688330188849,0.002539632926980777,-0.0019080650560456423,-0.0038587816755552957,0.0029979588399436366,0.002539257324564179,0.0047917588827203535,0.00010739372755880494,-0.048321011194498206,-0.014026500480622631,0.021836844123952613
55,-0.016851844137387485,0.0004828423276419999,0.0027306773916426735,-0.001218984790767838,-3.870139286665801e-05,0.0028762297242482184,0.0018604361629271377,-0.0018365456782994504,-0.007144150175718877,-0.0007606781287168989,0.00281930489838337,0.008427165511809854,0.010375549107411387,0.04732961643711248,-0.015263378475097275,-0.02423604139498676
56,0.046861575919560416,-0.0010927854918057044,0.0007263090617500875,0.0026177308490183833,2.319045100821886e-05,0.002142006323097549,-0.009525492477968486,-0.0017355498958385603,-0.0051857232026824305,-0.0009779811506741276,0.004863786825519982,0.0004547235766031774,0.010127155451833262,0.06506430270196992,-0.01634051649046208,0.006997606944172281
57,-0.01601928925852822,0.0005050667903819661,0.002758949302505786,-0.0012731022306402585,-3.9574386451264263e-05,0.002886586053592164,-0.010363289555909873,-0.0014449422786567483,-0.002839988059786613,0.005056459955207724,-0.007482541308719523,-0.008033974914253615,0.0006041810387148468,0.007425072621406722,-0.014718593494992813,0.018519139634142704
58,-0.025903608923676574,-0.0012414296257158655,0.0005372177098734279,0.0029796851546585942,2.9029304203961974e-05,0.002072739964498429,-0.009447554346620977,0.0009538581863005845,0.00611976634307064,0.0037798466840184924,-0.0010852045442878064,0.00993175322236961,-0.04857045706999195,-0.018549574002669426,0.011553844291400795,0.023302270177856133
