sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
46,0.020428851604749804,-0.00040139457166616293,-4.5131518884835413e-05,0.015619922154155719,-0.01855234903797922,-0.0021018451229796804,-0.025046053650346466,0.07504795286240867,-0.007585310461083488,0.07657894773885723,-0.09008002780807456,0.06470386836870363,-0.03366600474596886,-0.009990780061665164,0.07422163353802122
47,-0.01803089383457458,0.0004680316975664263,5.2745334034576635e-05,0.02467495692726784,-0.024718271050952048,-0.0025498419290728293,0.04130522528753283,0.06681625553659258,-0.0023235440670858285,-0.01872553288471169,0.04270195746062071,0.022352911134164457,-0.02997911501041027,0.02955772964354262,-0.019104216070730304
48,0.07833232734420537,0.00031774832430718036,3.5826977480073546e-05,0.023109762477962544,-0.023652469852903472,-0.002472404113341228,0.0410137477444704,0.07546686835081139,-0.007847196129858104,0.013045211413451281,0.02628586692787333,0.011748427904640922,-0.010714653680069516,-0.10216566925401392,0.01683464230644893
49,0.03559211449804066,-0.0015896186851568916,-0.0001788974757083902,0.0032446224344844818,-0.010125530713080389,-0.0014895785897444133,0.03731437210776654,0.09688714966072695,-0.013948345431327336,0.004364606050706698,-0.04678368998326148,0.01613533517748563,-0.01251114086306555,0.013482934131388263,-0.06672093008815239
50,-0.1680664439405554,-0.0031873033992326476,-0.0003587590203902796,-0.013395190686408726,0.0012051590727311175,-0.0006663257454502588,0.03421563134258641,0.07611430900323785,-0.04228257643621626,-0.029780271216726682,-0.02441227812229093,-0.01923898835341922,0.00925488440209266,-0.057332040524564726,0.045092163297839424
51,-0.1922551182524119,-0.0046901371318251095,-0.0005279425859353104,-0.029047135179461718,0.011863171053216888,0.0001080524118657539,0.03130085591196209,0.07511169765812285,-0.05380172435468603,0.0015078942166621466,0.0071665076693455615,-0.045493456306934375,-0.0023115048400974133,-0.07330724156609258,0.008911826507611395
52,0.029057162211495517,-0.0005595616628668788,-6.29373957831814e-05,0.013972619143575383,-0.017430636957410053,-0.0020203449956031423,0.03931218785783872,0.07890495435135784,-0.004418629417282705,0.6965958855871347,-0.05870788285888486,-0.03847217214759675,-0.032652857122766346,0.026053739948762502,0.07400895066795103
53,-0.09809615292109133,-0.0021919840091222313,-0.000246709576980128,-0.003028984825435943,-0.005853589845492235,-0.0011791925906234862,0.03614607277532777,0.07778514510148599,-0.010545405299215722,-0.008744484075125927,0.03802713184460913,0.032376938439545686,-0.03192344775246633,-0.019100574711002682,-0.03280584267890936
54,-0.01789809538941289,-0.00041519107806373324,-4.66846794865603e-05,0.015476232171924412,-0.0184545049935682,-0.0020947360776010413,0.0002054582196163672,0.092515631867141,-0.008240137030302748,0.004897574676461276,-0.029310682354720292,-0.012161891124452776,-0.039638310770327395,0.018680856336948375,0.012612306372846634
55,0.026177445112779838,0.0002635477634595836,2.9725275116154478e-05,0.022545266119196702,-0.02326808253557448,-0.0024444757207822895,0.0023499684052953836,0.08877252845946797,-0.021805365083696543,0.026586490643077648,-0.030719905149112228,-0.014383251295689847,0.0034355465933159635,-0.01857987332930403,-0.049826534504098026
56,-0.1303208364858319,-0.001081365244117834,-0.00012168014854127558,0.00853805874418421,-0.013730035420579103,-0.0017514707436039106,0.038300139601762935,0.08348672104051162,-0.013719054974546127,0.027840420464398413,-0.04100790905913158,0.04591718913155787,0.014779669460865258,-0.08089749734201267,0.03350675650610691
57,0.02413245352762309,0.00028251795975624294,3.18608709435262e-05,0.022742839844764752,-0.023402618096639627,-0.0024542506581779183,0.040945417763063964,0.0682772156386431,-0.004033556326629563,-0.006980842440810781,0.021119845866701306,0.002204392998069868,-0.03469850462714266,0.026414098365303163,0.03192199127235356
