sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,left ear wenli variance1088,left ear wenli variance262,left ear wenli mean904,face wenli variance535,left ear wenli variance872,left ear wenli variance848,face wenli variance1167
121,0.017470027811088133,-5.621703352491222e-07,-6.52350239357121e-05,-0.00023610483735879466,0.0006618608521724699,-0.001125082466871009,0.0020347691490144593,-0.016298628849218552,-0.012431534466232094,0.0006513509288555965,0.0001034127556213679,0.0011595481938860915,-0.020478847291322287,0.008389298528692343,-0.012163188492507354,0.01146079949467674,-0.002495287400119283,-0.01457099881414578
122,-0.008058366262712967,-1.5945101061005894e-06,-8.230524370247051e-05,-0.0006435055975182192,0.0010932826301537453,-0.0012208262447605692,0.0005620219451275642,-0.012592529407790978,-0.009289166968993774,0.01074164471430064,-0.016712417152677735,-0.001622217327107201,-0.02113302640032501,-0.0009475671348405999,-0.006266991282831167,0.020260034238763047,-0.0045805452111372475,0.011443798519834339
123,0.0017211685282480975,9.097501566755436e-07,-4.089613185212472e-05,0.0003447712891220689,4.673531540325824e-05,-0.0009885700194878259,-0.0018303638338658837,-0.01360006824774239,-0.010530473273098096,0.0007040321208450518,0.0018189500838510324,0.0007927230784633769,0.010606285690348036,0.005889820659015296,0.003185097463228376,0.015516936573870644,-0.003600597981034977,0.026260898789668117
124,-0.005541683830346076,8.56930043328965e-07,-4.176953707043527e-05,0.00032392645204739684,6.880919830167483e-05,-0.0009934687915231074,-0.0018328912392573452,-0.014691784426197728,-0.012475289898308168,0.006027181354734847,-0.0016525388261206771,0.0017770354590401244,-0.010744096694573258,-0.0027138787657261278,0.013515558053880116,0.018574387501128324,-0.0050849447547260725,0.03105862879581743
125,-0.013815635149188724,-3.2090449040610177e-06,-0.0001090023298754964,-0.0012806627841006973,0.0017680076507486815,-0.0013705653766390128,-0.0020274452898356465,-0.01678931937809586,0.0002866398028819146,0.005597007544986569,-0.006622537340735951,0.0020040217224423095,-0.007692872894720942,0.0327154825736772,0.005806078277666527,0.0018777522487263023,-0.0012439904860440407,0.01315740182416475
126,0.014926314267487315,-1.490630549852319e-06,-8.058754677312646e-05,-0.0006025107512713647,0.001049870660453527,0.0017045026915080785,0.012714657618021659,-0.016568671182331764,-0.008081773799285822,0.006933163637356033,-0.008546192163430888,0.0004949106529787497,-0.02434030828162553,0.012493891333635935,-0.02002613093582203,0.028912667994992345,-0.00622164696886814,0.022470853745499217
127,-0.0009096206652631408,-2.213679212552153e-06,-9.254349376155531e-05,0.008540498008281485,-0.003922148829732053,0.035451163488156474,0.008695465235390656,-0.015531755897132214,-0.0005631142239646415,0.008399512739228097,-0.008500368127952287,0.00023145344978445982,-0.012978945143440952,0.02470268285160824,-0.01175530087731736,0.03071792420286424,-0.007174266207585655,0.02627706485857686
128,-0.015001091340969283,-4.783671171937362e-06,-0.00013503950988357646,-0.0019020705382267558,0.002426054626487035,0.02517800308376767,-7.755203032289798e-05,-0.017232193679781564,-0.0008594529693209285,-0.011364322981656239,-0.011280359613653352,0.0016324614297537684,-0.01562319029942124,0.01613417261906606,-0.00963307373095797,0.05249266948591159,-0.010255319451888144,0.02610103433045909
129,-0.00954818823648973,-4.1774136487482956e-06,-0.0001250147588778565,-0.0016628181304696864,-0.016281070599189994,0.0013808571523771355,0.003684996375946225,-0.01679872424970273,-0.0018649720550984428,0.013095185355154332,-0.01736063632121861,0.0016324614297537684,-0.01562319029942124,0.016604058664076438,-0.016147160100278245,0.05249266948591159,-0.010255319451888144,0.0188963562867807
130,-0.016947626089572728,-3.0969488857366113e-06,-0.00010714876991219289,-0.0012364254076422268,0.0017211619659309302,-0.0013601690937641373,0.01867840762656121,-0.015422994885617053,0.0035046432181588256,0.01088693742851359,-0.016599766398792883,0.0022801732306471038,-0.018962163624899723,0.030515983857302618,-0.0012289734615497487,0.04200302479519879,-0.009553833278981636,0.019665142674886966
