sample_index,face guangpu mean1,face wenli mean30,face wenli mean78,face wenli mean94,face wenli mean102,face wenli mean126,face wenli mean166,left ear wenli mean218,left ear wenli mean1438,right ear wenli mean1574,right ear wenli variance1608,face wenli variance951,left ear wenli variance246,left ear wenli mean214,right ear wenli mean1184
71,-0.03212017712352462,-0.000689115785263775,8.229365978217755e-05,-0.007019229973073904,0.0018458453699646208,-0.0021473074681760754,-0.04742072039684611,-0.04477748438113001,0.022898397187063848,-0.026069239746613484,-0.020752059042693786,0.046100590878359105,0.02137512957558029,0.04763091093784606,-0.014264892688089125
72,-0.10550911588308219,0.000512904834624524,0.00021761277720745717,0.005499759728828643,-0.006678816999345226,-0.002766683046789982,-0.001046165463575223,-0.039570944953966646,-0.03639993644416819,-0.009741019121223209,-0.04888570160861756,0.06081291603258202,0.020520215120495934,-0.04889555408727005,0.08042344077001937
73,0.02004854364157747,-0.0009554376319740127,5.2312113166738496e-05,-0.009792959808646078,0.003734584870112999,-0.002010077502920566,0.030032030275409422,-0.03681217578308924,0.01972542189542985,0.025712053863971428,-0.03596556762349621,0.12316727742218037,0.01948245028678583,0.04207015078535623,0.06353662296043305
74,-0.004258053448769668,-0.0009645531808438364,5.128591776917021e-05,-0.009887897832620339,0.003799231828027425,-0.002005380455081108,0.030014350490010555,-0.03661650271763276,0.020591555356192573,0.027743148845028893,-0.07775105601009091,0.07112717130003471,0.01908430603822955,-0.0406878952444787,-0.04604658399209139
75,0.05294029297953977,-0.000345681322438547,0.00012095626476082886,-0.0034423757725303215,-0.0005897724498381909,-0.00232427191920862,0.031214664568982413,-0.035417449832007876,0.01851692631145363,-0.021336478349912816,-0.005209957646853012,-0.043501711104151304,-0.012683563789749103,0.06994503141895786,0.04638357267453562
76,0.016772785574977578,-0.0003185810420147488,0.0001240071159427884,-0.0031601275931474027,-0.0007819661085026875,-0.0023382361154880888,0.03126722609314121,-0.041308846667995835,0.024037880839440237,0.001073398812269718,0.00013221626361798272,0.05787714857009336,-0.017902981601416,0.08009457581143334,0.01746476456456588
77,0.040009954712172856,5.737375731903741e-05,0.0001663307423397912,0.0007554244226556869,-0.0034482163187028935,-0.0025319576020559967,0.0319963977828351,-0.04286647085340351,0.023426889210487974,-0.0042291544970558485,-0.017381442022453595,-0.04579004695894333,-0.011986028726695916,0.08013507480778768,-0.05232300199150204
78,0.05776862399807462,0.0007139396421319738,0.00024024454597544812,0.007593528041341952,-0.00810454450362004,-0.002870271993735861,-0.011327199589036389,-0.051280873753064525,0.017066102185898845,-0.03779454951321423,0.04746651940313067,0.01400807584164318,-0.0047073029932612085,0.0811487894818407,-0.03763879062729812
79,-0.00993937714812885,-0.0006469871675140526,8.703634661958736e-05,-0.0065804623487604585,0.0015470715914952702,-0.0021690154460287043,-0.05599111582695726,-0.04678725661164884,-0.0049824231792685095,-0.013750881254627664,0.021710940302743263,0.04195926111188193,0.020645577909265782,0.06489960033232378,0.020486275837463066
80,0.02421070975423614,-0.0006280169712173934,8.917194244695907e-05,-0.006382888623192411,0.0014125360304301218,-0.0021787903834243325,0.03066706905365528,-0.05330798664416005,6.331563731077887e-05,-0.04128694756270426,0.09623714577538883,0.01963403326025357,0.018141168054158448,-0.04027959924041658,0.023906883232344755
81,0.1206489603133601,-0.0008295445110961856,6.64847036574779e-05,-0.008481788720785416,0.002841757964862473,-0.002074947542000645,-0.19972442629549664,-0.03503532456187232,-0.030887524109669513,0.009717180888144,-0.03200890362385756,0.03932488422539025,0.019440757554538866,-0.08167701210571944,-0.00488663900641979
82,0.03971655205916166,1.4506041012303216e-05,0.00016150485047014622,0.0003089591207227173,-0.0031442008949972484,-0.0025098687824866555,-0.04067994383949901,-0.04361463800867708,0.0025526906553451304,-0.027218513910513376,0.06618614719594168,0.049226122777587096,0.011628848654792386,0.07785101406441586,-0.028509593133145633
83,0.05139272400504483,0.0012340186600832343,0.0002987931536583269,0.01301012719295423,-0.011792915534899629,-0.003138257615062763,-0.05536420019335413,-0.04434330941377065,0.024018773301375137,-0.02019883259239306,0.053411678066971294,0.04060858482685861,-0.017348596328944515,0.08005944913092192,-0.041699972557213
84,0.0397176800359219,-0.00025304763662629,0.0001313846288009816,-0.002477600177548694,-0.001246725319455021,-0.002372004081036623,-0.04008982127280702,-0.04520118625131345,0.021684281738950834,-0.033459092001167,0.0530932479163155,0.08176514237133542,0.00998746412759562,-0.016023593209620657,-0.06076817904367108
85,-0.021425435802862658,-0.0004060410379279152,0.00011416118712828266,-0.0040710194447922754,-0.00016170475554000064,-0.002293169845677076,-0.015207673568069197,-0.04958870428341574,0.024132519351503852,-0.03791277164474526,0.01760522389215936,0.014912247569634721,0.020103003205997363,0.012842686324532619,-0.03337603989653287
86,-0.04955242204749942,6.451837670349368e-05,0.00016713505765139874,0.0008298353063111869,-0.003236803294171954,-0.0025356390719842204,0.0011695416957370685,-0.04225124652291541,0.013170637160838588,-0.026958812834691127,0.0596075157855836,0.06774489928051305,0.009151475042439045,-0.06263256569762338,-0.034350541693125236
87,0.000788885522161086,0.0005180785245236127,0.00021819521243310403,0.005553643472165384,0.25858861790447296,0.01273306703446508,-0.047447001158925514,-0.049441288091859374,0.015505578312393836,-0.014078414701000458,-0.005992482804315729,0.022447011969559078,0.015261665904842979,-0.028105518285288934,0.009173668926580654
88,-0.06711450542392931,-0.002394955254849055,-0.00010974355461680503,-0.024785469918958962,0.013943562575355353,0.006520523056968193,-0.18944673699430015,-0.04320341314985255,0.021712830648765745,-0.047872501709300845,-0.0447427220952972,0.014443417784750058,0.016493522502323908,-0.05707635135084678,0.06811511429403405
89,0.1336638287049246,0.0002771323949374772,0.0001910703719244089,-0.3951258719798317,0.2271876685088516,0.06672690142142133,0.008434022166520954,-0.04570517402778684,-0.028233599469709818,-0.027453020105845386,0.02643319168587365,-0.1622719232748139,0.014484871961716219,-0.047933496296322056,0.052605430697776255
