face wenli variance904,face wenli variance544,face wenli variance686,right ear wenli variance398,left ear wenli mean480,left ear wenli variance358,face wenli variance648,face wenli variance179,face wenli variance896,left ear wenli variance512,face wenli variance1163,face wenli variance479,right ear wenli variance1303,left ear wenli variance1400,face wenli variance895,face wenli mean464,right ear wenli variance1182,left ear wenli mean1280,left ear wenli variance472,left ear wenli mean222,left ear wenli variance214,right ear wenli variance1294,face wenli variance1024,face wenli variance128,right ear wenli variance1464,right ear wenli variance1351,left ear wenli variance496,face wenli variance526,left ear wenli variance1184,left ear wenli variance488
0.57183,0.563706,0.509329,0.440676,0.457403,0.363893,0.579426,0.19269,0.571122,0.687454,0.201476,0.302305,0.348565,0.807228,0.307451,0.572973,0.486542,0.495883,0.650534,0.259766,0.098029,0.484562,0.572929,0.204293,0.33074,0.32678,0.695819,0.477041,0.583221,0.677924
0.586273,0.587702,0.497802,0.440242,0.516059,0.428251,0.596794,0.184548,0.584297,0.512475,0.196371,0.286512,0.348953,0.597953,0.304178,0.532144,0.436953,0.479438,0.449023,0.48663,0.193959,0.433895,0.56453,0.196843,0.331156,0.34441,0.479352,0.489642,0.544051,0.489767
0.574062,0.559856,0.49902,0.479237,0.516014,0.414414,0.571894,0.200505,0.569898,0.51012,0.208485,0.308784,0.346396,0.599533,0.30982,0.688746,0.502773,0.526879,0.471624,0.496904,0.491779,0.462912,0.543268,0.213952,0.334193,0.341152,0.478288,0.467611,0.641389,0.465325
0.582005,0.587937,0.505088,0.461342,0.511616,0.414951,0.606352,0.186965,0.578091,0.548563,0.201024,0.28709,0.332234,0.863317,0.303522,0.709599,0.487101,0.409344,0.570475,0.241053,0.078991,0.424791,0.54944,0.201442,0.342571,0.337377,0.579147,0.468529,0.557844,0.566053
0.582179,0.601832,0.49371,0.444838,0.558371,0.474525,0.595998,0.200224,0.601575,0.50995,0.211324,0.318522,0.335724,0.309492,0.312786,0.44523,0.485195,0.72405,0.493278,0.159001,0.344197,0.392676,0.575468,0.215237,0.325356,0.31197,0.513458,0.427669,0.497727,0.501575
0.567358,0.54169,0.510612,0.471404,0.502087,0.493781,0.553562,0.200064,0.546415,0.521549,0.207285,0.29147,0.348705,0.339465,0.307136,0.671965,0.456921,0.576109,0.506135,0.099054,0.332521,0.424659,0.495932,0.215693,0.328037,0.324172,0.512448,0.442924,0.474082,0.498404
0.591401,0.578613,0.501322,0.479909,0.550759,0.480898,0.608257,0.187241,0.592286,0.509648,0.200016,0.292001,0.337142,0.314835,0.30881,0.687968,0.4923,0.717463,0.507187,0.192446,0.372353,0.362744,0.566404,0.199197,0.33371,0.321275,0.519767,0.481791,0.511719,0.510478
0.583776,0.574462,0.50686,0.457498,0.363341,0.556933,0.595604,0.188706,0.579868,0.488482,0.200924,0.305216,0.345955,0.494348,0.301697,0.517467,0.473716,0.490134,0.499353,0.397009,0.492472,0.489228,0.563819,0.199867,0.381597,0.348234,0.477195,0.47409,0.494849,0.491831
0.566508,0.491031,0.482075,0.49085,0.762498,0.473633,0.551749,0.191914,0.566953,0.44955,0.190005,0.303172,0.327462,0.305917,0.302213,0.907948,0.45307,0.772368,0.491444,0.078592,0.235999,0.241286,0.514343,0.196447,0.306392,0.301177,0.43805,0.456604,0.446338,0.431881
0.573112,0.56088,0.506395,0.463475,0.683989,0.410559,0.616138,0.181975,0.581345,0.46816,0.19443,0.285753,0.3015,0.288049,0.303389,0.438525,0.449149,0.729299,0.472939,0.08573,0.245938,0.434711,0.577934,0.193237,0.303929,0.306223,0.460671,0.45588,0.545339,0.47338
