feature,abs_r,r,p_value
face wenli mean42,0.048174148866444666,-0.048174148866444666,0.5452230557837852
face wenli mean1626,0.04816970865156956,-0.04816970865156956,0.5452601482774627
left ear wenli mean1445,0.04816566674406404,0.04816566674406404,0.5452939144851826
left ear guangpu mean157,0.04816461016242072,0.04816461016242072,0.5453027413670886
left ear wenli mean1557,0.048159640253113235,0.048159640253113235,0.545344261867019
left ear wenli mean117,0.04815834493269296,0.04815834493269296,0.5453550837184553
face wenli mean50,0.04815684085020548,-0.04815684085020548,0.5453676498206573
left ear wenli mean704,0.04815353439537298,0.04815353439537298,0.545395274636598
left ear wenli mean138,0.04815206434334888,0.04815206434334888,0.5454075568690527
left ear wenli mean157,0.04815204212668063,0.04815204212668063,0.5454077424895696
left ear wenli mean1466,0.04815185917226171,0.04815185917226171,0.5454092710770105
left ear wenli mean1453,0.04814772011306869,0.04814772011306869,0.545443853553218
left ear wenli mean1474,0.048142950036369994,0.048142950036369994,0.5454837096143376
left ear wenli mean1493,0.04814027578310241,0.04814027578310241,0.5455060547871645
left ear wenli mean1370,0.04813586049105645,0.04813586049105645,0.5455429484866428
left ear wenli variance1488,0.04813565711768383,0.04813565711768383,0.5455446478819338
left ear wenli mean797,0.04813552292977468,0.04813552292977468,0.5455457691624027
left ear wenli mean1549,0.04812737810548693,0.04812737810548693,0.5456138298169356
face wenli mean100,0.04811921084740817,-0.04811921084740817,0.5456820821240879
left ear wenli mean789,0.04811399166399528,0.04811399166399528,0.5457257000979565
face wenli mean245,0.048112951253372706,-0.048112951253372706,0.5457343952650597
face wenli mean1118,0.04811153441414845,-0.04811153441414845,0.5457462365202516
face wenli mean1500,0.04810209310024824,-0.04810209310024824,0.5458251456661755
left ear wenli mean1418,0.04809519970306491,0.04809519970306491,0.5458827632293882
right ear wenli mean406,0.04809313642318229,0.04809313642318229,0.5459000094665929
left ear wenli mean893,0.04809008487221975,0.04809008487221975,0.5459255168077423
face wenli variance574,0.048088326031972994,0.048088326031972994,0.5459402188888005
left ear wenli mean389,0.04808598146822192,0.04808598146822192,0.5459598173134714
left ear wenli mean1482,0.048084498512974735,0.048084498512974735,0.5459722136515535
face wenli mean704,0.048069446723526366,-0.048069446723526366,0.5460980425789392
left ear wenli mean647,0.04806904399759332,-0.04806904399759332,0.5461014094554071
face wenli variance711,0.048066651338404785,-0.048066651338404785,0.5461214128172112
left ear wenli mean1490,0.04805876331731923,0.04805876331731923,0.5461873616310782
left ear wenli mean122,0.04805248935125554,0.04805248935125554,0.5462398187217474
face wenli mean885,0.04804348852590162,-0.04804348852590162,0.5463150796016109
left ear wenli mean606,0.048042650001472266,-0.048042650001472266,0.5463220912273576
left ear wenli mean655,0.048040070473901145,-0.048040070473901145,0.5463436611584175
right ear wenli variance168,0.048039424843375096,-0.048039424843375096,0.5463490599666295
left ear guangpu mean156,0.048036988136114525,0.048036988136114525,0.5463694361212945
left ear wenli mean72,0.048035458416694876,-0.048035458416694876,0.5463822280821135
left ear wenli mean130,0.04803359751899493,0.04803359751899493,0.5463977896506405
left ear wenli mean1498,0.048032078522280364,0.048032078522280364,0.5464104922680342
left ear wenli mean1506,0.04802351181617276,0.04802351181617276,0.5464821341025685
left ear wenli mean973,0.04801454328484991,0.04801454328484991,0.5465571412676664
face wenli mean605,0.048004515986853596,-0.048004515986853596,0.5466410092725422
left ear wenli mean114,0.04800055490972757,0.04800055490972757,0.5466741413363682
left ear wenli mean106,0.04799690645049019,0.04799690645049019,0.5467046594082041
left ear wenli mean125,0.04799231974054149,0.04799231974054149,0.5467430268011707
left ear guangpu mean155,0.04798946967271487,0.04798946967271487,0.5467668680130161
left ear wenli mean957,0.0479853593420936,0.0479853593420936,0.5468012523954697
left ear wenli mean1013,0.0479722733312031,0.0479722733312031,0.5469107286083259
right ear wenli mean1535,0.04797038986808704,-0.04797038986808704,0.5469264863505569
left ear wenli mean133,0.04797032748932088,0.04797032748932088,0.5469270082379677
left ear wenli mean1514,0.04796224395742465,0.04796224395742465,0.5469946405858825
left ear wenli mean1538,0.04795555406691272,0.04795555406691272,0.5470506158790139
face wenli variance903,0.04795482757505084,0.04795482757505084,0.5470566947117897
left ear guangpu mean43,0.04795396832061334,0.04795396832061334,0.5470638844620975
left ear wenli mean727,0.04794985494296186,-0.04794985494296186,0.5470983034982821
face wenli mean903,0.04794677511624067,0.04794677511624067,0.5471240749043712
left ear wenli mean90,0.047944727204591586,0.047944727204591586,0.5471412117701692
left ear wenli mean98,0.04794279806264447,0.04794279806264447,0.547157355015165
left ear wenli mean1351,0.047936524482541265,-0.047936524482541265,0.5472098545497182
left ear wenli mean1554,0.04793306383952131,0.04793306383952131,0.5472388154895512
left ear wenli mean821,0.04793145667018977,0.04793145667018977,0.547252265596367
left ear wenli mean159,0.047927463542943534,-0.047927463542943534,0.547285684050812
left ear wenli mean1546,0.0479264611221643,0.0479264611221643,0.5472940734604517
right ear guangpu variance69,0.04792472020809738,0.04792472020809738,0.5473086435807849
left ear wenli mean949,0.0479238456881999,0.0479238456881999,0.5473159627157442
left ear wenli mean183,0.04791625950384796,-0.04791625950384796,0.5473794559161604
left ear wenli mean1578,0.04791331605409205,0.04791331605409205,0.547404092335309
left ear wenli mean74,0.04790893018397433,0.04790893018397433,0.5474408026956116
left ear wenli mean1570,0.047908262314664204,0.047908262314664204,0.5474463929630975
left ear wenli mean1562,0.047901521099162514,0.047901521099162514,0.5475028205350945
left ear wenli mean82,0.04790146062321486,0.04790146062321486,0.5475033267639506
left ear wenli mean1594,0.04789948433496577,0.04789948433496577,0.5475198698990472
left ear wenli mean339,0.047899397043232914,-0.047899397043232914,0.5475206006072791
left ear wenli mean1586,0.04789504011327826,0.04789504011327826,0.5475570725325677
left ear wenli mean1485,0.04789474666046546,0.04789474666046546,0.5475595290731938
left ear wenli mean1522,0.04789446645109866,0.04789446645109866,0.5475618747558454
left ear wenli mean805,0.04789045234558238,0.04789045234558238,0.5475954780902927
left ear wenli mean66,0.04788390879881284,0.04788390879881284,0.5476502583349534
left ear wenli mean229,0.04787930303815527,0.04787930303815527,0.5476888177333242
