feature,abs_r,r,p_value,fdr_significant,mutual_info,selected_final
right ear wenli variance223,0.2235870217279397,-0.2235870217279397,0.004482125156050345,False,0.04524704449976502,False
left ear wenli mean488,0.08858050554192644,-0.08858050554192644,0.2653347464740703,False,0.04488586921671467,False
face wenli variance536,0.09279963786616756,0.09279963786616756,0.24314994960742034,False,0.04483822588782127,False
left ear wenli variance254,0.10468752536461848,-0.10468752536461848,0.18768968173207196,False,0.04431358049644807,False
right ear wenli mean224,0.1377998726903828,0.1377998726903828,0.08226744610350444,False,0.043766415753511145,False
right ear wenli mean1182,0.1105526756768453,0.1105526756768453,0.1640137541120723,False,0.0429052109860566,False
left ear wenli mean1312,0.11876206095038291,-0.11876206095038291,0.13471760458355778,False,0.04290223652995695,False
right ear wenli mean350,0.13051619720649196,0.13051619720649196,0.09996697779798121,False,0.042825230847301166,False
face wenli mean173,0.09133907043876699,-0.09133907043876699,0.2506788370528278,False,0.04222203999038543,False
left ear wenli mean1320,0.08830554854048972,-0.08830554854048972,0.26682695235387416,False,0.04218795693700095,False
face wenli variance968,0.11318272281804534,0.11318272281804534,0.15415176420164917,False,0.04178672877382428,False
right ear wenli mean560,0.11100008131600236,0.11100008131600236,0.16230366684703582,False,0.04158448310282847,False
face wenli mean1091,0.0794603302963063,0.0794603302963063,0.3178905747705015,False,0.04100442080401612,False
face wenli variance960,0.116802894264972,0.116802894264972,0.14131599214543017,False,0.039856488874834284,False
right ear wenli mean1419,0.09791392917472747,0.09791392917472747,0.218033025582358,False,0.03971113076072608,False
face wenli mean261,0.07775457542359951,-0.07775457542359951,0.3284230495916091,False,0.03944174481578888,False
right ear wenli variance1239,0.07840246386720616,-0.07840246386720616,0.3243964439157488,False,0.03902256585341113,False
face wenli variance400,0.12610319941498427,0.12610319941498427,0.1120747728685063,False,0.03872213711548267,False
face wenli variance259,0.10955659953438127,-0.10955659953438127,0.16786922187313752,False,0.037854081559926867,False
right ear wenli mean456,0.09993293746142079,0.09993293746142079,0.20864449259829992,False,0.03733024775484317,False
left ear wenli variance1288,0.12787067587505668,0.12787067587505668,0.10709465729181729,False,0.03719598097995136,False
face wenli mean1511,0.14012444556731454,0.14012444556731454,0.07718098381943898,False,0.03702097369556934,False
left ear wenli variance1168,0.13677923455344793,0.13677923455344793,0.08458417615793758,False,0.03634345676805206,False
left ear wenli variance272,0.10991591260592924,0.10991591260592924,0.1664707465108612,False,0.03629451010605411,False
left ear wenli variance1072,0.08912928635438563,0.08912928635438563,0.2623735326588471,False,0.03621672586007141,False
right ear wenli variance1158,0.1146916359721806,0.1146916359721806,0.14869897142518487,False,0.03589182506642041,False
left ear wenli variance416,0.08945057715273708,0.08945057715273708,0.26065038407190716,False,0.035521102039447694,False
left ear wenli variance552,0.08618528253082595,0.08618528253082595,0.27852570424111256,False,0.035263068234587136,False
left ear wenli variance518,0.11670817959442362,-0.11670817959442362,0.14164111214066508,False,0.03520835922670473,False
right ear wenli variance184,0.1068748175469158,-0.1068748175469158,0.17858400045483866,False,0.03453902855737412,False
right ear wenli variance384,0.09261406899658337,0.09261406899658337,0.24409768648757796,False,0.03427498704333232,False
face wenli mean1325,0.07984172528254155,-0.07984172528254155,0.31556591567460074,False,0.03420165759500304,False
right ear wenli variance1278,0.11424002020058434,0.11424002020058434,0.1503154632013276,False,0.034091160453255664,False
right ear wenli variance374,0.17430180017576455,0.17430180017576455,0.02749774597414398,False,0.033880164851635364,False
face wenli variance568,0.1552555212056711,0.1552555212056711,0.04995491083660461,False,0.03363519280978844,False
right ear wenli variance358,0.1409686143665492,0.1409686143665492,0.07539788896184184,False,0.0335401576366281,False
face wenli variance528,0.12325665239108134,0.12325665239108134,0.12047339342521642,False,0.03307467693677246,False
left ear wenli variance238,0.09617196634079603,-0.09617196634079603,0.22637177302911587,False,0.03223081338610756,False
right ear wenli variance1279,0.08093176994937973,-0.08093176994937973,0.3089830596290112,False,0.03214281366115923,False
